gene,mean_tpm,std_tpm,cv
AC002383.1,1.7002860000000002,12.886368611980739,7.578941785076592
AC092127.2,1.230294,9.313167926567656,7.569871857107047
PGC,1.9438600000000001,14.703917204128244,7.564288171024787
AF178030.1,3.4581480000000004,26.123102255529002,7.554072947580323
SNORA74A,4.523239,34.12644550678335,7.544692090509334
RNU7-124P,1.100344,8.281260927623146,7.526065419199038
AL732366.1,2.108793,15.781907327653318,7.483857983051593
RNU6-1201P,1.008961,7.524700530957018,7.457870552932193
RFX6,1.053766,7.8550583842543436,7.454271996111418
RN7SL449P,1.4514310000000001,10.801419133947682,7.441910179641803
SLC26A4,3.0727049999999996,22.85009471106237,7.436475259116111
AL513008.1,1.493466,11.104734143200169,7.435545330928303
AC013457.1,12.458760000000002,92.61572841870255,7.433783813052225
NEUROG2,2.6188619999999996,19.4426864663618,7.4240973622748365
IGLV1-36,113.17702700000001,837.9237230682722,7.403655541051385
Z98752.2,1.0133359999999998,7.498978406430109,7.400288163481916
CYP2A6,252.86052499999997,1866.119687396852,7.380035643748079
AC008937.2,1.05118,7.7458282920485,7.368698312418901
MIR4644,1.403574,10.326284746919809,7.357135959286656
IGHV1-69-2,54.75058799999997,402.5326544528566,7.352115642170944
FGA,12.036634000000001,88.40753117569945,7.344871595804894
AP000867.2,1.3636020000000002,9.994352560907238,7.3293765782884135
SNORA28,2.635228,19.296281705117398,7.322433468799435
AL163153.1,1.4374010000000002,10.508942959246951,7.311072525514418
AP005131.1,1.191081,8.70184148572971,7.305835191502266
MIR4446,1.858596,13.545906835391833,7.288247061433379
RN7SKP203,2.7661149999999997,20.136302612824114,7.279633208606336
SNORD15B,9.530506999999998,69.1944489084777,7.260311430281486
LINC02303,5.854655000000001,42.46126936181776,7.252565584448231
SLC5A8,15.804089,113.85014781545785,7.203841222069672
SPDYC,19.889027999999996,143.14982711892245,7.197426999394967
AL035106.1,1.138137,8.176836594407858,7.184404508778695
FGG,23.055851000000004,165.43061050368556,7.1752116416646485
AC023310.4,2.094473,14.995249900261213,7.15943814996002
AL035425.3,4.237571000000002,30.326925055496083,7.1566765619965
BCAS2P2,1.361552,9.704360061483975,7.1274252187826646
PI3,37.34858500000001,265.74218710632834,7.115187552790241
AL133230.1,2.110262,14.899808923876721,7.060644092476062
SNORA74D,1.343104,9.471694652664706,7.052093250161347
CHRNA9,22.660373999999997,159.6695963777034,7.046203049327581
IGKV2D-40,45.18317000000004,317.54850495292186,7.0280262529814
