gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
MTCO2P22,0.226823811796109,0.7772023962986708,0.5503785845025618,1.6678084501978623,0.09749748472510031,98,50,0.12706422971307413,0.226823811796109,NS
XRCC6,0.22682373010355228,8.316405374406443,8.089581644302891,3.561608618519901,0.0005289546248659569,98,50,0.0009916642672563028,0.22682373010355228,NS
AC139149.1,0.22676311102250302,1.4336079788904024,1.2068448678678994,2.2098439503238643,0.028840304496112613,98,50,0.0414525539235304,0.22676311102250302,NS
WBP1,0.226717690173317,2.777646236118846,2.550928545945529,1.9199009935548035,0.05708674273881688,98,50,0.07790837893317126,0.226717690173317,NS
ITPR2,-0.22670551248905024,3.398094665051625,3.624800177540675,-1.8869194467631525,0.06115676100877202,98,50,0.0829693250844442,0.22670551248905024,NS
CNNM2,-0.22669598027085636,1.8487476103749527,2.075443590645809,-2.8947274471317614,0.004585383426888452,98,50,0.007484869282080678,0.22669598027085636,NS
FASTKD2,0.2266704194495599,3.996328510896275,3.7696580914467153,4.092897261949454,7.106083511444349e-05,98,50,0.00014839439847671147,0.2266704194495599,NS
SREK1IP1,-0.22661252762643969,3.7860614824202266,4.012674010046666,-3.2276511897419886,0.0015415251009715972,98,50,0.00269725880118567,0.22661252762643969,NS
POU2F1,0.22661154760135593,2.9521917905461508,2.725580242944795,2.391653481343862,0.018272277607253435,98,50,0.027144946705150986,0.22661154760135593,NS
ENDOD1,0.22652640578966476,5.708859037974029,5.482332632184364,1.9605725103049967,0.052145434971822946,98,50,0.07161558067618451,0.22652640578966476,NS
PDCL3P5,0.22647996910420087,1.079328931865234,0.8528489627610331,2.46251459114328,0.015637478503785652,98,50,0.02348180614047423,0.22647996910420087,NS
IER5,-0.22646259975171912,5.246007768693846,5.472470368445565,-1.8401634461380691,0.06808131095262258,98,50,0.09150788644289418,0.22646259975171912,NS
MACROH2A1,0.22638122387055848,4.8874416001433305,4.661060376272772,4.137946028769175,5.964031086523104e-05,98,50,0.00012587754956899962,0.22638122387055848,NS
GNL1,-0.22635741562247702,4.696213505234553,4.92257092085703,-2.944985342820338,0.0037628219939836007,98,50,0.00622196429276705,0.22635741562247702,NS
KIF26B-AS1,-0.22635554520557033,0.8152736338064674,1.0416291790120378,-1.4444972735000452,0.1517598380295305,98,50,0.19042139429273222,0.22635554520557033,NS
AVIL,0.22629831407161238,2.0372295698469016,1.8109312557752892,1.6659990055906257,0.0979432483255812,98,50,0.12759460478466272,0.22629831407161238,NS
ZNF836,-0.22629082506654186,2.1958205447085017,2.4221113697750436,-2.69925186215117,0.007877934998212984,98,50,0.012399813124430968,0.22629082506654186,NS
DLGAP1-AS1,0.22628134134730038,3.6795602194474895,3.453278878100189,2.0072697835847872,0.04660346035412667,98,50,0.06459788343311222,0.22628134134730038,NS
KCTD17,-0.22622168326185133,3.9188106870271797,4.145032370289031,-2.5522281516322094,0.011776913556459321,98,50,0.01803045739651916,0.22622168326185133,NS
CCNT2-AS1,-0.22619897526299138,1.183136852162498,1.4093358274254895,-3.752850814515521,0.0002533210559273849,98,50,0.0004955899289486667,0.22619897526299138,NS
TIPARP-AS1,0.2261666171988248,1.53834646348605,1.3121798462872252,2.5372386524378503,0.012224839553208836,98,50,0.018680164508026172,0.2261666171988248,NS
AP003392.2,-0.22614553614568056,3.3240288511502896,3.55017438729597,-1.0928713637189982,0.27727756038163337,98,50,0.3275419401091178,0.22614553614568056,NS
DGCR8,0.22612840484448649,3.6902812886807563,3.46415288383627,2.5806879848904334,0.011028824605609933,98,50,0.01697602663977875,0.22612840484448649,NS
BCL3,-0.22602345341627839,5.9464605063924605,6.172483959808739,-1.2132116355005031,0.2277881440538655,98,50,0.274475392829044,0.22602345341627839,NS
AC004471.1,0.22596946896968362,0.9272667039862553,0.7012972350165717,2.6948094357690073,0.007899276581695943,98,50,0.01243142114994504,0.22596946896968362,NS
CRTC1,-0.2259627870044869,3.352826926752347,3.578789713756834,-2.0541166110811795,0.04183819076377376,98,50,0.05845259196779891,0.2259627870044869,NS
AL034417.4,0.2259498592972703,1.0822176291681052,0.8562677698708349,2.240400072881585,0.027073796806479745,98,50,0.03910725609428548,0.2259498592972703,NS
ZNF518B,0.22592932044438818,3.0013222448387906,2.7753929243944024,2.2671584782787413,0.024924425565206035,98,50,0.036214663554128806,0.22592932044438818,NS
METTL15P1,0.22581914771616018,1.5998110966269063,1.3739919489107462,3.1697800457017746,0.001874123249012982,98,50,0.003245541271221464,0.22581914771616018,NS
RCN2,0.2258174775607955,4.499006335074725,4.273188857513929,2.906713558090007,0.004231304558513565,98,50,0.0069442388071429585,0.2258174775607955,NS
TRIM48,0.22576187308444354,0.22731767085731688,0.0015557977728733526,2.224085392104245,0.028460966137013745,98,50,0.04097000305583549,0.22576187308444354,NS
FAM98B,-0.22566444031186617,3.8761746357533147,4.101839076065181,-3.091082649372729,0.002408261699056907,98,50,0.004102486904022862,0.22566444031186617,NS
POLR2J4,-0.22552981386253768,2.47549684017969,2.7010266540422276,-3.129143895504777,0.0021173504279226787,98,50,0.0036373812749599,0.22552981386253768,NS
MLYCD,-0.2255291319965662,1.9216897646902298,2.147218896686796,-3.642176726382467,0.00037481953171580374,98,50,0.0007159637293787208,0.2255291319965662,NS
HCCS,0.22549307041991096,5.017040544128216,4.791547473708305,3.8650317665723164,0.00016814269267858295,98,50,0.00033618315023798556,0.22549307041991096,NS
AC126544.1,-0.22548351227876262,1.0947373236557165,1.3202208359344791,-2.1700144414635765,0.03205930313691632,98,50,0.045726165755176684,0.22548351227876262,NS
VPS35,0.22544706737697684,5.62502234138716,5.399575274010183,4.507709158475101,1.3368198366776592e-05,98,50,3.064419121372164e-05,0.22544706737697684,NS
STRAP,0.22536195138350745,7.258383692006073,7.033021740622566,2.781108385903709,0.006193685603285514,98,50,0.009912509486763725,0.22536195138350745,NS
STAM2,-0.22531900188966603,4.489369504003248,4.714688505892914,-3.4441861888945255,0.0007484431995487398,98,50,0.001372888092887378,0.22531900188966603,NS
MAP3K10,0.2253085076410586,3.1618511705536796,2.936542662912621,2.2797691756265035,0.024158355369358207,98,50,0.03516891842672747,0.2253085076410586,NS
TRAPPC9,0.22529435947788334,4.069407319861227,3.844112960383344,2.6477055006469894,0.008996014387785644,98,50,0.014029828778042111,0.22529435947788334,NS
CELF4,0.2252814416174257,0.9123729540384918,0.6870915124210661,2.4367300614098086,0.016097313029323886,98,50,0.02412969886772001,0.2252814416174257,NS
ABCA7,0.22527823761399102,3.4757875510647556,3.2505093134507645,2.008498374098124,0.04643447928837986,98,50,0.06436817792171255,0.22527823761399102,NS
