gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
PTCD2,-0.13977531849867786,2.377452680132207,2.5172279986308848,-2.075773037755367,0.03968183788829828,100,50,0.0595502035386413,0.13977531849867786,NS
AP3M1,0.13976033806112031,5.536664552217348,5.396904214156228,1.5897396706361258,0.11416560540969434,100,50,0.1541389523189227,0.13976033806112031,NS
AL021707.6,0.13972970349269964,2.2376488546131337,2.097919151120434,0.9677757590478027,0.33512158146352455,100,50,0.3970824709489226,0.13972970349269964,NS
ST8SIA4,0.13969992543550402,2.8212022017290344,2.6815022762935303,1.355185159494697,0.17771360164557642,100,50,0.22831854064959345,0.13969992543550402,NS
ESRRA,0.1396497172783473,4.463970480018719,4.3243207627403715,1.024306274847367,0.307868102529767,100,50,0.36915814787219897,0.1396497172783473,NS
NFKB1,-0.1396207990874414,5.27931515153302,5.418935950620462,-1.4563302700519918,0.14760818151338767,100,50,0.19371899727212322,0.1396207990874414,NS
PWWP3B,0.13961600532382956,1.988034668797859,1.8484186634740294,0.8181855438703143,0.4145668697034097,100,50,0.47852735500966376,0.13961600532382956,NS
IRF2BPL,-0.13957742193386036,5.82638305137775,5.96596047331161,-1.3886323861679555,0.1676914663405448,100,50,0.21692688063808005,0.13957742193386036,NS
AC107956.1,0.13956323516205638,3.957624339119789,3.818061103957733,0.8370419145128503,0.40452897330650117,100,50,0.46859453662067535,0.13956323516205638,NS
MS4A18,-0.1395623062150303,0.5191564375384171,0.6587187437534474,-0.6988424492704699,0.48702127935195927,100,50,0.5503509561288026,0.1395623062150303,NS
CDC42SE2,-0.139385976868585,5.279005295874558,5.418391272743143,-1.4072798628465901,0.16292146401031157,100,50,0.21158336178035075,0.139385976868585,NS
MXD4,-0.1392936766314774,5.387344216969576,5.526637893601054,-1.4522236434212878,0.14866940350803784,100,50,0.19494140762163947,0.1392936766314774,NS
ADIPOR2,0.13924697482603055,6.489778738509029,6.350531763682999,1.197505953628923,0.23307200418087762,100,50,0.28966376181517295,0.13924697482603055,NS
TMEM222,0.1392346736086587,5.029097755788252,4.889863082179593,1.7826491546830927,0.0771158005401563,100,50,0.10817040709342951,0.1392346736086587,NS
CDK19,0.13922941999755434,4.254644819354917,4.115415399357363,1.2687084140683182,0.20663102907737796,100,50,0.26044952909849983,0.13922941999755434,NS
MAPK1IP1L,-0.13920283892420038,5.539100664436953,5.678303503361153,-1.7571373757502327,0.08209789563859064,100,50,0.11437803662159249,0.13920283892420038,NS
