gene,family,mean_effect,median_effect,essential_fraction,strongly_essential,std_effect,n_cell_lines
KDM5C,KDM,-0.1329858675906843,-0.1161027637444596,0.03038674033149171,0.0,0.17208285615782973,1081
PBRM1,SWI_SNF,-0.13217738959444406,-0.1246112659807932,0.017495395948434623,0.0,0.16460145245861846,1086
PCGF6,PRC1,-0.12769591787358434,-0.11766104179239355,0.0055248618784530384,0.0,0.10703718635655353,1086
SIRT2,HDAC,-0.12302338663051296,-0.12183308002651105,0.004604051565377533,0.0,0.1032081140759069,1086
DOT1L,KMT,-0.12047111880495655,-0.08956413472010374,0.05432780847145488,0.001841620626151013,0.21354749188616262,1086
NSD1,KMT,-0.10848189716867057,-0.10647561310897265,0.006445672191528545,0.0,0.14124879482614705,1086
KAT6A,HAT,-0.10680249743268995,-0.0881064978349473,0.02302025782688766,0.0027624309392265192,0.17143285239248093,1086
EHMT1,KMT,-0.1061634423903065,-0.0924458653432019,0.01289134438305709,0.0,0.14364544704817056,1086
KDM5B,KDM,-0.10504783613917873,-0.1021142916854694,0.0027624309392265192,0.0,0.108509633599422,1086
KDM5A,KDM,-0.10498964223595857,-0.10081128242513245,0.0055248618784530384,0.0,0.13637593213826535,1086
KDM1A,KDM,-0.10243559875339837,-0.09593149625184536,0.007366482504604052,0.0,0.14481150750619437,1086
HDAC8,HDAC,-0.09950494800684367,-0.0844857880617953,0.008287292817679558,0.0,0.14588882635529568,1081
RBBP7,PRC2,-0.09733999788146148,-0.0685518845672638,0.03222836095764273,0.001841620626151013,0.1796627846365737,1081
ARID1B,SWI_SNF,-0.09211927005072806,-0.07178652448541435,0.02302025782688766,0.001841620626151013,0.15086857994279246,1086
PCGF1,PRC1,-0.09159965598121783,-0.08450721037653475,0.01841620626151013,0.0,0.16851919216029254,1086
SMARCC2,SWI_SNF,-0.08810369598959321,-0.0815779706962743,0.007366482504604052,0.0,0.11389388576109888,1086
EZH1,PRC2,-0.08673680673543965,-0.0839909369919127,0.0,0.0,0.0834620270742797,1086
KDM4A,KDM,-0.0840694421410554,-0.08086202580514165,0.003683241252302026,0.0,0.11178508073460856,1086
CBX4,PRC1,-0.08003607873786293,-0.07980650385959251,0.001841620626151013,0.0,0.09972439170741634,1086
EZH2,PRC2,-0.07918664194774289,-0.05216333215139825,0.040515653775322284,0.0,0.19486695378789062,1086
NSD2,KMT,-0.07887377029307313,-0.07506633784015465,0.0009208103130755065,0.0,0.10460046418907229,1086
BCL7A,SWI_SNF,-0.07404641374278902,-0.06692573780201544,0.003683241252302026,0.0,0.12324451169318305,1086
CREBBP,HAT,-0.07269648546691682,-0.043214076194919404,0.07366482504604052,0.017495395948434623,0.30211330982230505,1086
TET1,DNMT,-0.06825460954311656,-0.06862200839009536,0.0,0.0,0.07982956137900954,1086
PCGF5,PRC1,-0.06768029161744982,-0.062243460977984055,0.004604051565377533,0.0,0.12092932797543057,1086
TET3,DNMT,-0.06637559652774726,-0.0660358112787639,0.0009208103130755065,0.0,0.0931101332238251,1086
HDAC4,HDAC,-0.062486597853240476,-0.04849399438931195,0.006445672191528545,0.0,0.12808509010574398,1086
HDAC5,HDAC,-0.06106214776806184,-0.05882694052137105,0.0,0.0,0.09972006614638959,1086
KDM3A,KDM,-0.05354011382180867,-0.050598150224563945,0.0,0.0,0.10830953203960153,1086
JARID2,PRC2,-0.05162617232312872,-0.049694484791621155,0.001841620626151013,0.0,0.10441563354164249,1086
KDM4C,KDM,-0.04967373907444604,-0.03997641940518265,0.001841620626151013,0.0009208103130755065,0.11252216747324073,1086
RNF2,PRC1,-0.049670843749854275,-0.047942583302587896,0.0027624309392265192,0.0,0.11577709967434456,1086
CBX2,PRC1,-0.039469074910061006,-0.03190015426317995,0.001841620626151013,0.0,0.09968215968866245,1086
KDM2B,KDM,-0.03494410871421534,-0.03257018839570705,0.003683241252302026,0.0,0.11765766695263424,1086
HDAC2,HDAC,-0.0330599634120936,-0.0149568011001209,0.017495395948434623,0.001841620626151013,0.15065329179444062,1086
SMARCA2,SWI_SNF,-0.028887409179457924,-0.00227397547991115,0.03406998158379374,0.006445672191528545,0.18045908948855593,1086
KAT6B,HAT,-0.028587132312252385,-0.02370695284880195,0.003683241252302026,0.0,0.10611296712407121,1086
SIRT1,HDAC,-0.02638795327401428,-0.02093540321002245,0.0055248618784530384,0.0,0.1468065397319074,1086
KDM4B,KDM,-0.02492815818096643,-0.0236636758217176,0.0,0.0,0.09571698963361942,1086
AEBP2,PRC2,-0.022797725717178186,-0.01229777720939065,0.0009208103130755065,0.0,0.10650011136276966,1086
KDM6B,KDM,-0.01961488665223229,-0.020192617418729547,0.0,0.0,0.10632762661987305,1086
KMT2C,KMT,-0.012979792716800578,0.00227648885229325,0.008287292817679558,0.0,0.1577791631003906,1086
CBX7,PRC1,-0.010554369175179946,-0.01241978563030055,0.0,0.0,0.09507294796005292,1086
HDAC6,HDAC,-0.007010945907404401,-0.0074551024404199,0.0,0.0,0.09178319861194,1081
PCGF3,PRC1,-0.006164569824413644,0.0061525803685962,0.0055248618784530384,0.0,0.12852842730227781,1086
HDAC11,HDAC,0.000605294613029076,0.0071980218260725,0.0009208103130755065,0.0,0.09818824250323953,1086
DNMT3B,DNMT,0.004174898447780022,0.0056781187241194495,0.0009208103130755065,0.0,0.10324380859399417,1086
BRDT,BET,0.004301616089055224,0.00224547495374225,0.0,0.0,0.10194576037672018,1086
BMI1,PRC1,0.011289660684191042,0.028141808870644852,0.010128913443830571,0.003683241252302026,0.15007584422893486,1086
CBX6,PRC1,0.017641842810304252,0.022718593786905147,0.0009208103130755065,0.0,0.09717698509258611,1086
BRD9,SWI_SNF,0.019592335510745754,0.0243766413788053,0.013812154696132596,0.0,0.17082591751467685,1086
KAT2B,HAT,0.026358893314774784,0.028782781375349398,0.0,0.0,0.10541945688181799,1086
NSD3,KMT,0.03204707392266446,0.03815222172268075,0.0009208103130755065,0.0,0.11302092472744024,1086
HDAC10,HDAC,0.0413330832883783,0.047985766096213495,0.0,0.0,0.07404802017051923,1086
TET2,DNMT,0.061087009896885605,0.06292711963065445,0.0,0.0,0.08142709078706743,1086
CBX8,PRC1,0.06491938693438197,0.06887633424358,0.0,0.0,0.0889803495383275,1086
HDAC9,HDAC,0.07401854673358406,0.0803183020139212,0.0,0.0,0.08525241188381859,1086
KDM6A,KDM,0.08930684693186625,0.095722058569292,0.0009208103130755065,0.0,0.12106779243805041,1081
DNMT3A,DNMT,0.0902142927740852,0.09009778427619405,0.0,0.0,0.07983531961733081,1086
BRD3,BET,0.11039785065742269,0.11133669184230005,0.0,0.0,0.08830846186129482,1086
