swi_snf_gene,prc2_gene,mean_prc2_swi_dep,mean_prc2_swi_nodep,delta,t_stat,p_value,n_dep,n_nodep,fdr
SMARCE1,SUZ12,-0.3784115698454077,-0.3333725801327362,-0.04503898971267151,-2.79085636430655,0.005349134212807362,272,814,0.032101823392144985
SMARCE1,JARID2,-0.06682097351690586,-0.04654879403724742,-0.02027217947965844,-2.7807369423370876,0.005517500895524919,272,814,0.032101823392144985
SMARCE1,EED,-0.30593370031284856,-0.25511409609891306,-0.0508196042139355,-2.6549945016503065,0.008047211383815506,272,814,0.04478448074471238
SMARCB1,EED,-0.30563631162804894,-0.2552134692220893,-0.05042284240595962,-2.6341330659009943,0.008555424585272925,272,814,0.04525595623845796
SMARCC2,AEBP2,-0.008173181567806151,-0.027684551280604718,0.019511369712798567,2.6229683578670966,0.008839053952823821,272,814,0.04525595623845796
SMARCE1,RBBP7,-0.07339341282464595,-0.10535175658565532,0.03195834376100937,2.5411774682302983,0.011187081262675943,271,810,0.055074861600866186
ACTL6A,EZH1,-0.07607683730079952,-0.09029886040401718,0.014222023103217657,2.4386078988765996,0.01490364906787226,272,814,0.07065433632176478
SMARCB1,SUZ12,-0.37380651810425863,-0.3349113689209334,-0.038895149183325206,-2.407952991721469,0.016208435011557765,272,814,0.07409570290997836
SMARCA2,EZH2,-0.10196247809924376,-0.07157604313544777,-0.03038643496379599,-2.230578322199,0.025913106028079263,272,814,0.1143750886756602
SMARCC2,SUZ12,-0.3182618520218135,-0.3534717487420944,0.03520989672028091,2.178751709133736,0.029564951938668944,272,814,0.12549324343490662
DPF2,EZH1,-0.07725531037707686,-0.08990507087484344,0.012649760497766574,2.1677750271382816,0.03039289489439145,272,814,0.12549324343490662
SMARCC2,RBBP4,-1.2961493103916963,-1.3381910854306893,0.04204177503899298,2.0823724191052,0.03754251782903869,272,814,0.15017007131615476
SMARCD1,RBBP4,-1.358764929963849,-1.3172679299962597,-0.041496999967589154,-2.0552833059306024,0.04009082384707528,272,814,0.15550380158865565
ARID1A,EZH2,-0.09956666052967833,-0.07237661116852123,-0.027190049361157098,-1.9950287398496414,0.04628975118804042,272,814,0.17426729859026982
SMARCC1,EZH1,-0.07814331006686968,-0.08960834370577261,0.01146503363890293,1.9639898277979475,0.04978650943435101,272,814,0.18207637735991228
SMARCB1,RBBP7,-0.07902645891453575,-0.10349733113115715,0.024470872216621406,1.9457930542965667,0.05193898303533509,272,809,0.18467193968119142
ARID1B,EED,-0.2955910654848693,-0.25857011166796756,-0.037020953816901736,-1.93115998443145,0.05372375271820342,272,814,0.18585514453864968
SMARCA4,RBBP4,-1.3565375849657308,-1.3180122025263437,-0.03852538243938719,-1.9075904142624962,0.056708223463927065,272,814,0.191017173773228
BRD7,EZH2,-0.09837109175809532,-0.07277611326418533,-0.025594978493909987,-1.8776003027338806,0.060704194490001306,272,814,0.19923427935179916
DPF2,RBBP7,-0.11486987371514301,-0.0914750641148841,-0.023394809600258915,-1.8576672598763575,0.06348854534530761,271,810,0.20034022095596454
SMARCC1,RBBP7,-0.07994932519317671,-0.10315835874383823,0.02320903355066152,1.8428690764097475,0.06562230004660831,271,810,0.20034022095596454
SMARCC2,EZH2,-0.06036399124711794,-0.08547627461429079,0.025112283367172847,1.8420787689190055,0.06573663500117587,272,814,0.20034022095596454
BCL7A,EZH2,-0.09716250802364504,-0.07317996434007043,-0.02398254368357461,-1.7589660713833886,0.0788653827255303,272,814,0.2347620695085553
SMARCC1,EZH2,-0.0968083735607481,-0.07329829919745122,-0.023510074363296884,-1.7242174767642164,0.08495368330429093,272,814,0.24713798779430088
BRD7,EED,-0.2923686035439842,-0.25964690484723135,-0.03272169869675284,-1.7062517622056057,0.08824764762444838,272,814,0.24876810456380413
ARID1B,RBBP4,-1.301917193085457,-1.3362637339654522,0.034346540879995224,1.7000890429524638,0.08940103757761711,272,814,0.24876810456380413
SMARCA4,RBBP7,-0.0815726260140335,-0.10264126506062145,0.021068639046587942,1.6745056973743646,0.09432104455493993,272,809,0.2539481837162113
SMARCE1,EZH1,-0.07942657713866377,-0.08917953701839178,0.009752959879728004,1.6698863057706284,0.09523056889357925,272,814,0.2539481837162113
ARID1A,SUZ12,-0.36456742684597404,-0.33799863283033565,-0.026568794015638386,-1.6425014061061602,0.10077616329822371,272,814,0.261514609138634
SMARCB1,RBBP4,-1.3523903139126527,-1.319398022829092,-0.03299229108356072,-1.632887956525519,0.10278297320066102,272,814,0.261514609138634
SMARCA2,AEBP2,-0.03188238516715377,-0.01976206555698978,-0.01212031961016399,-1.6262025326387302,0.10419722707867449,272,814,0.261514609138634
BCL7A,EZH1,-0.09364173461475067,-0.08442950896741434,-0.009212225647336328,-1.5770839699055128,0.11506797075823297,272,814,0.28324423571257346
BCL7A,EED,-0.28947433078244256,-0.260614032846174,-0.028860297936268542,-1.504452914460043,0.1327560824738187,272,814,0.3206184633329961
PBRM1,SUZ12,-0.32672909075198264,-0.35064240115658335,0.023913310404600707,1.4779883260351183,0.1397013886354067,272,814,0.331144032320964
DPF2,RBBP4,-1.349478336482675,-1.320371066884318,-0.029107269598356966,-1.4402139950351724,0.15009560766952357,272,814,0.34407663592132354
SMARCA2,EZH1,-0.08043669750780297,-0.0888420029392691,0.008405305431466129,1.4386670770392094,0.15053352821557905,272,814,0.34407663592132354
ACTL6A,EED,-0.24756290510165926,-0.27461883356505984,0.027055928463400575,1.4102149584587376,0.1587630882190102,272,814,0.3445408284937637
ARID1B,EZH1,-0.09290671791967897,-0.08467511651171347,-0.0082316014079655,-1.4088805686912196,0.15915726074579742,272,814,0.3445408284937637
SMARCD1,JARID2,-0.059303350379884975,-0.04906082535576054,-0.010242525024124434,-1.4012511878902871,0.16142519638769576,272,814,0.3445408284937637
SMARCA4,EZH1,-0.08060139167251486,-0.08878696999970936,0.008185578327194507,1.4009891806602628,0.16150351335645174,272,814,0.3445408284937637
SMARCC2,EZH1,-0.0809146553955174,-0.08868229219546281,0.00776763679994541,1.329337332473972,0.18401639755465515,272,814,0.3835686549169484
SMARCB1,JARID2,-0.04437168176819213,-0.054050277275146844,0.009678595506954712,1.3239731714926648,0.1857910672253969,272,814,0.3835686549169484
SMARCC1,EED,-0.2865297473131108,-0.2615979722855576,-0.024931775027553227,-1.2993195861276186,0.19411054518747847,272,814,0.39438332990471814
BCL7A,RBBP4,-1.3469731225318309,-1.3212081899735437,-0.025764932558287157,-1.274572786548663,0.20273364272034544,272,814,0.4002821328407158
ARID1A,RBBP7,-0.08525324723247926,-0.10132431420855526,0.016071066976075993,1.2703101308302334,0.2042480273758514,268,813,0.4002821328407158
SMARCD1,AEBP2,-0.029864024981951242,-0.020436505324035348,-0.009427519657915894,-1.2642962908063027,0.20639547474599407,272,814,0.4002821328407158
SMARCA2,EED,-0.2857727570497709,-0.2618509223489833,-0.023921834700787625,-1.2466094901715357,0.21281002644681785,272,814,0.40656243858496544
DPF2,EZH2,-0.06718620435505085,-0.08319661618019036,0.016010411825139514,1.1733333881519505,0.24091988411034634,272,814,0.439566092132007
BCL7A,RBBP7,-0.1082927657873618,-0.09367555331047508,-0.014617212476886715,-1.1595514093103394,0.24648802196707875,271,810,0.439566092132007
DPF2,AEBP2,-0.01632572455556134,-0.024960360011969076,0.008634635456407736,1.1578274328207123,0.24718950578181587,272,814,0.439566092132007
PBRM1,AEBP2,-0.016352330251327037,-0.024951469656627215,0.008599139405300178,1.1530618797009435,0.24913917763273008,272,814,0.439566092132007
SMARCC2,RBBP7,-0.10825555572003667,-0.09370596506220709,-0.014549590657829584,-1.152758199639319,0.24926495969408732,270,811,0.439566092132007
ARID1B,SUZ12,-0.3585963622163402,-0.33999387801370223,-0.018602484202637992,-1.1492897490084915,0.25069003691903524,272,814,0.439566092132007
ARID1B,AEBP2,-0.02901908621866269,-0.020718843584004002,-0.00830024263465869,-1.1129360760146925,0.26598262045634613,272,814,0.4548060808473357
ARID1A,EED,-0.2837541915240296,-0.2625254307310491,-0.021228760792980472,-1.1061001478499064,0.2689285878513617,272,814,0.4548060808473357
ARID1B,JARID2,-0.045578834406359785,-0.05364690440342498,0.008068069997065198,1.1033908819748617,0.2701023394414093,272,814,0.4548060808473357
SMARCA2,RBBP4,-1.3442612824146973,-1.3221143576785317,-0.02214692473616564,-1.0953782153789187,0.2735942830097254,272,814,0.4548060808473357
ACTL6A,EZH2,-0.0901996455475858,-0.07550662108882733,-0.014693024458758475,-1.0766799220168448,0.28186284170398956,272,814,0.46254415048859826
ARID1A,AEBP2,-0.01693273020802593,-0.024757527656354368,0.007824797448328438,1.0491194224714175,0.29435700032621365,272,814,0.47693286128804235
ARID2,JARID2,-0.04616170213140651,-0.053452137792598546,0.0072904356611920365,0.9969387389287774,0.3190167311859056,272,814,0.505276086241204
ARID1A,RBBP4,-1.3125743750950587,-1.3327026117214578,0.020128236626399065,0.9954388432543535,0.31974502332451193,272,814,0.505276086241204
SMARCB1,AEBP2,-0.01789572863830617,-0.024435739483091194,0.006540010844785022,0.8767259104872394,0.38082977726146516,272,814,0.588352052227626
