gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
DOCK8,0.8117402391865971,3.914794361042582,3.103054121855985,2.1652685798234335,0.05419952346643032,0.6834273077495127,0.8117402391865971,NS
GALNT12,0.8111990321116869,2.1266133921488715,1.3154143600371846,2.2709161571264316,0.036243904377953655,0.6818087557627369,0.8111990321116869,NS
LGALS12,0.8110205044940677,2.696041399924876,1.8850208954308083,0.7469564150185206,0.46546481864876144,0.8359406561033917,0.8110205044940677,NS
PLA2G7,0.8106390017040459,3.91489807554557,3.104259073841524,1.1832445422988092,0.25166918621855733,0.7568637772852823,0.8106390017040459,NS
VN1R53P,0.8105924828710867,2.5514703839786033,1.7408779011075166,1.0967925971296018,0.28577545825134515,0.7717574186220751,0.8105924828710867,NS
SLC44A3,0.8100676631282657,4.317008915510608,3.5069412523823424,1.4395601835219518,0.16855843415936847,0.7251556134332084,0.8100676631282657,NS
MUC20-OT1,0.8094902666152914,2.003209625515359,1.1937193589000676,3.017168020722681,0.00682362504719544,0.6745714032071729,0.8094902666152914,NS
TRIL,0.8087363015541076,5.000888416111662,4.192152114557555,1.6682577348031482,0.11571230400479943,0.695517109845281,0.8087363015541076,NS
AL513550.1,0.8086691871680847,2.815208070679877,2.0065388835117925,4.0799930128092985,0.0008889646915761359,0.643160289481671,0.8086691871680847,NS
PNMA8A,0.8086347009277541,4.488078997748852,3.679444296821098,1.0879306880809294,0.2908184166848263,0.7727577482170136,0.8086347009277541,NS
GNB4,0.8085442289976608,4.667078427173851,3.8585341981761903,2.014811060769192,0.05955141874080957,0.6834273077495127,0.8085442289976608,NS
AC009961.3,0.8082924726542613,1.9510913210647445,1.1427988484104832,3.802707667321494,0.0013883338436414038,0.643160289481671,0.8082924726542613,NS
IQGAP2,0.8079935794213,4.802715648063019,3.9947220686417193,1.2571729920574746,0.22374338523904425,0.7453633801405658,0.8079935794213,NS
USP34,0.8072792571775707,4.788968515979753,3.981689258802182,2.715084191844028,0.016239823192856842,0.6764263426859727,0.8072792571775707,NS
MST1R,0.8072420768852338,3.2732997693976276,2.466057692512394,1.4122029565453984,0.17962299246692542,0.7288515406517255,0.8072420768852338,NS
CDO1,0.8072262202781118,4.072740431766409,3.265514211488297,0.951454756473592,0.35631744672829235,0.7963265019938721,0.8072262202781118,NS
PDE3B,0.806971740749876,2.3707292822508954,1.5637575415010194,1.020977082980669,0.32237326951980105,0.7824957657144285,0.806971740749876,NS
MROH6,0.8066146792208317,2.5564773940666674,1.7498627148458357,1.8138620479260967,0.08568747316019602,0.6834273077495127,0.8066146792208317,NS
ATP11B,0.8064974975440373,5.086587353596629,4.280089856052592,2.3922423574570537,0.026995878909692492,0.680275821656149,0.8064974975440373,NS
AC132872.1,0.806253736419408,3.3141333188610633,2.5078795824416553,1.9083109514626801,0.07359521641876621,0.6834273077495127,0.806253736419408,NS
GBP1,0.8058849790224079,6.025648992683772,5.219764013661364,1.5025998779982679,0.1522951519167682,0.7143252662517484,0.8058849790224079,NS
RSPO3,0.8057854294130682,2.700571838792207,1.8947864093791387,1.3585423751080234,0.1929933193452889,0.7347373469488283,0.8057854294130682,NS
LBR,0.80572170779533,5.219731867714193,4.414010159918863,1.864927289792784,0.08434473088886948,0.6834273077495127,0.80572170779533,NS
HENMT1,0.8055975162517175,4.606523768001534,3.800926251749816,1.4879011964103253,0.1613595882243769,0.7176229603836127,0.8055975162517175,NS
TMEM30B,0.8055857513824876,5.500190532303808,4.6946047809213205,1.4404416182685895,0.17033777036593858,0.7254800029992927,0.8055857513824876,NS
SDHAP1,0.8051646835825372,3.346875455954196,2.5417107723716588,2.6983060168847355,0.015113830286894968,0.6764263426859727,0.8051646835825372,NS
TLR1,0.8051027595893836,3.5405663643347745,2.735463604745391,1.672540018282092,0.11579491093767985,0.695517109845281,0.8051027595893836,NS
AC090607.2,0.8050778887283252,1.9524886345200338,1.1474107457917087,2.281924022766623,0.03452086728221189,0.6813362680813191,0.8050778887283252,NS
AC006435.2,0.8049762509714382,1.9888595500871433,1.1838832991157051,2.273995660142164,0.03428530536447798,0.6813362680813191,0.8049762509714382,NS
PTGER4,0.8048830282615063,4.0876003012188,3.282717272957294,1.8571487317093873,0.08089091269157542,0.6834273077495127,0.8048830282615063,NS
GSTM5,0.8048671226559216,2.136061198471267,1.3311940758153455,1.4897139570354325,0.15191076918484392,0.7143252662517484,0.8048671226559216,NS
KLF7,0.8048325762465209,4.341473821426327,3.5366412451798057,1.990308969313414,0.06642382558508442,0.6834273077495127,0.8048325762465209,NS
LRIG3,0.8046975729008743,4.6323103233584355,3.827612750457561,1.9601678203621584,0.06548557433190534,0.6834273077495127,0.8046975729008743,NS
CD52,0.8045976528483685,5.331370803670281,4.526773150821913,1.40371534272178,0.1763862488354986,0.7288303077806598,0.8045976528483685,NS
CLEC2D,0.8043995985268011,2.752912032143806,1.948512433617005,2.188914832666454,0.04369127732291191,0.6834273077495127,0.8043995985268011,NS
PTPRF,0.8043200902228325,7.931092280629678,7.126772190406846,1.0197271042725509,0.33695150785216804,0.7887934198345419,0.8043200902228325,NS
CDCA7,0.8038713800899764,3.350269141179354,2.5463977610893775,1.2929532194477653,0.21095690127007127,0.740238629316265,0.8038713800899764,NS
ZNF69,0.8037811258883161,2.9899691152292767,2.1861879893409606,2.5881937238726063,0.019246455781752672,0.6764263426859727,0.8037811258883161,NS
GPC3,0.803776833136669,5.050172239772087,4.246395406635418,0.8464477943456228,0.4093471454280023,0.8156218171578841,0.803776833136669,NS
ST6GALNAC4,-0.8035367337361135,3.931170504227825,4.7347072379639386,-2.5295474373022637,0.024831836615830175,0.680275821656149,0.8035367337361135,NS
TRBJ1-1,0.8031789469414967,1.4650561729623337,0.661877226020837,1.7988244153702648,0.0935154952345369,0.6834273077495127,0.8031789469414967,NS
DLGAP1-AS1,0.8031328512265783,3.5083580726757253,2.705225221449147,2.479978559290651,0.02790781111254927,0.680275821656149,0.8031328512265783,NS
ETV4,0.8031296615966284,3.4032447658787905,2.600115104282162,1.019990146507657,0.32340955886655587,0.7825602370142262,0.8031296615966284,NS
LCK,0.8031137735509009,3.2686780336736585,2.4655642601227576,1.7987547204113568,0.09000223173569195,0.6834273077495127,0.8031137735509009,NS
BARX2,0.8026483120263004,4.420003975392183,3.617355663365883,0.9593113479845795,0.35370151211505907,0.7956354678235895,0.8026483120263004,NS
LRRC75B,0.8017973741644431,3.9045070199559784,3.1027096457915353,1.6291552923760055,0.12129872707357614,0.700237791004909,0.8017973741644431,NS
ZFP36L2,0.8017560999744031,7.324516730412555,6.522760630438152,1.858280003893424,0.08285104550254212,0.6834273077495127,0.8017560999744031,NS
FRMD3,0.8015678679772376,3.187197128758898,2.3856292607816605,1.287507056709988,0.2126332928844744,0.7407372227331572,0.8015678679772376,NS
AL034550.1,0.8014042118608464,1.3098783288171,0.5084741169562537,3.628563118124859,0.0016743696359212338,0.643160289481671,0.8014042118608464,NS
AL591846.1,0.8010226503473847,2.054796907863283,1.253774257515898,1.633682798451503,0.12034317208394853,0.699130905273318,0.8010226503473847,NS
CD3G,0.800982502413577,2.408454326021712,1.6074718236081351,2.4039943957585828,0.02623506692950839,0.680275821656149,0.800982502413577,NS
AC015911.7,0.8008435465887931,1.756410814786341,0.955567268197548,2.344050888674761,0.029579690208653486,0.680275821656149,0.8008435465887931,NS
STEAP1,0.8007192839220743,4.950380733304883,4.149661449382808,1.333431568383862,0.20369064133768788,0.7372714833873261,0.8007192839220743,NS
KLHL6,0.800438092183908,2.0478438902854985,1.2474057981015905,2.552700764180851,0.01928590063717517,0.6764263426859727,0.800438092183908,NS
LPXN,0.8001920430694174,4.842415822732748,4.04222377966333,1.8743779978453132,0.079353003170045,0.6834273077495127,0.8001920430694174,NS
IRAK3,0.799836080802014,2.8245385014683104,2.0247024206662965,1.8279670989546863,0.0859872542899856,0.6834273077495127,0.799836080802014,NS
CITED4,0.7998169554757926,5.899909502876477,5.100092547400685,1.1214688436851001,0.27646833236456325,0.766008965030768,0.7998169554757926,NS
IRF4,0.7996261930181687,2.4577827353799835,1.6581565423618148,1.9048681308022954,0.07467465201163584,0.6834273077495127,0.7996261930181687,NS
MACC1,0.7994339437308597,3.4559293438301903,2.6564954000993306,1.310411651034237,0.20748341843970455,0.7372714833873261,0.7994339437308597,NS
AC008464.1,0.7992069073144645,1.560675499412527,0.7614685920980624,3.3824011838429358,0.0030550927339204003,0.6444232619184341,0.7992069073144645,NS
AP000851.2,0.7990503431220963,2.451831186278064,1.6527808431559676,0.9849794168381547,0.34229159069668114,0.7890505790589274,0.7990503431220963,NS
PRRC2C,0.7987235853878136,6.358590542828235,5.559866957440422,2.89040440928577,0.011789675461697563,0.6764263426859727,0.7987235853878136,NS
ZNF652,0.7985875855572084,5.156082204394323,4.357494618837115,1.4450437970351346,0.16395036629393156,0.7210711550162551,0.7985875855572084,NS
AC121757.2,0.7984761846419133,1.8818520089807533,1.08337582433884,1.8863061662161424,0.07392011323011373,0.6834273077495127,0.7984761846419133,NS
MIS18BP1,0.7982472045858162,4.4994835192488765,3.7012363146630602,2.2396506222047807,0.04373538429597684,0.6834273077495127,0.7982472045858162,NS
AC006042.1,0.797796726639739,3.263304799389031,2.465508072749292,1.4722881097566158,0.15888327651334486,0.7155483108731323,0.797796726639739,NS
APOL6,0.7963923712378556,5.725867182922249,4.929474811684393,1.6858504595877863,0.11527673230693072,0.6951405936975263,0.7963923712378556,NS
MBNL3,0.7963823150765794,3.0587113187899786,2.262329003713399,1.8396655114470017,0.08655961890565764,0.6834273077495127,0.7963823150765794,NS
CCDC183-AS1,0.7963138844962772,1.8150316867681002,1.018717802271823,2.937554070595072,0.008158454839935995,0.6745714032071729,0.7963138844962772,NS
RNU6-322P,0.7962503000515306,2.670034418079311,1.8737841180277803,1.7649058884457958,0.09408517642873925,0.6834273077495127,0.7962503000515306,NS
TRBV5-1,0.7960371709173473,1.750841190508362,0.9548040195910148,2.1633383075083548,0.04321378832862082,0.6834273077495127,0.7960371709173473,NS
AL109918.1,0.7960174384753564,3.1365422416837436,2.340524803208387,1.6147297989263572,0.12370380348450181,0.7016010170997234,0.7960174384753564,NS
CXCL11,0.7958940143301381,3.6448239750002096,2.8489299606700715,0.8115508451075011,0.4280221020181727,0.8201019240126032,0.7958940143301381,NS
BEND7,0.7957554547509837,2.912707792166131,2.1169523374151473,1.8772190465196317,0.07736245458932561,0.6834273077495127,0.7957554547509837,NS
KCNK2,0.7956674164502187,2.9927134584686956,2.197046042018477,1.1962957515106256,0.2507061886453714,0.7566379924095973,0.7956674164502187,NS
AC124944.1,0.7956181880690375,1.3908053504076592,0.5951871623386217,3.3178060643297647,0.003554048045723193,0.6444232619184341,0.7956181880690375,NS
DENND4C,0.795502939854078,5.109682916568068,4.31417997671399,2.227977823986708,0.04161341966339172,0.6834273077495127,0.795502939854078,NS
TLR2,0.7954509599588442,3.9977776581006457,3.2023266981418015,1.5587437800077608,0.1372048862807662,0.7086703256563225,0.7954509599588442,NS
TMEM44-AS1,0.7951514885566153,3.489011133045996,2.6938596444893808,2.3581488852449732,0.035204468753927735,0.6818087557627369,0.7951514885566153,NS
IGKV3-15,0.7950853324728255,6.2573914966893565,5.462306164216531,0.8641908568979564,0.4001516117900814,0.8109319656625943,0.7950853324728255,NS
PLXNB1,0.7950318647267247,5.10626227590417,4.311230411177445,1.4695054299486237,0.1721946704681112,0.7273919600451272,0.7950318647267247,NS
AC073869.6,-0.7947607624732325,1.495770618369152,2.2905313808423844,-0.8851488025905794,0.39371878469785215,0.8086062938353007,0.7947607624732325,NS
