gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
AC009812.4,0.12533347424322216,1.904921442739245,1.7795879684960227,0.40410234744447077,0.695644849691496,0.9999124392578936,0.12533347424322216,NS
ACTR5,-0.1252998501894078,3.273705431758102,3.3990052819475096,-0.5023934115878053,0.6263935556714932,0.9999124392578936,0.1252998501894078,NS
GALE,-0.12527136522238003,4.59866906129889,4.72394042652127,-0.3882450492555472,0.7086219485726062,0.9999124392578936,0.12527136522238003,NS
TTC28,0.12524263245802159,3.9687289423290015,3.84348630987098,0.20071649658551707,0.8459372732569856,0.9999124392578936,0.12524263245802159,NS
AIP,-0.12523010410177804,6.578659776515897,6.703889880617675,-0.4282842813756999,0.679977107941026,0.9999124392578936,0.12523010410177804,NS
LRCH3,0.12522480895119426,2.9879640450753655,2.8627392361241712,0.5472798865210492,0.5963141387961086,0.9999124392578936,0.12522480895119426,NS
IGF1R,0.12522322620486825,5.106662636287739,4.981439410082871,0.5313893558300786,0.6069667205991955,0.9999124392578936,0.12522322620486825,NS
SLC35G1,-0.12520193642285626,1.4843873872953108,1.609589323718167,-0.4539537091474477,0.6596740447490076,0.9999124392578936,0.12520193642285626,NS
GLYR1,-0.125178706343811,6.292948030792261,6.418126737136072,-0.6894609097569878,0.5200376262667412,0.9999124392578936,0.125178706343811,NS
NEDD4,0.12516804877785015,3.241398007155021,3.1162299583771707,0.24242525529666736,0.8133527315523233,0.9999124392578936,0.12516804877785015,NS
STARD13,-0.1251315903217609,3.6536408321225182,3.778772422444279,-0.259447974677301,0.8024293174599839,0.9999124392578936,0.1251315903217609,NS
TDP2,-0.1251235226466747,5.992388974807005,6.11751249745368,-0.39224302439411823,0.7035623234500636,0.9999124392578936,0.1251235226466747,NS
ANXA11,-0.12511559972198683,6.671359595443574,6.796475195165561,-0.4003252086142273,0.7077190760176275,0.9999124392578936,0.12511559972198683,NS
NCOA6,0.12508029951874722,4.222465093824739,4.097384794305992,0.782336411413769,0.461503830048105,0.9999124392578936,0.12508029951874722,NS
PFDN6,-0.1250721748685173,4.531775271421604,4.656847446290121,-0.43396491298992795,0.6821775441482802,0.9999124392578936,0.1250721748685173,NS
AL590560.3,0.12503424731826795,0.866612362148061,0.7415781148297931,0.6046679176991973,0.5638075068760307,0.9999124392578936,0.12503424731826795,NS
PCDHGA2,0.1250166725045616,1.3175876123342267,1.192570939829665,0.35653384998464294,0.7299369831791807,0.9999124392578936,0.1250166725045616,NS
SPEN,0.12500931248882807,4.239447119872946,4.114437807384118,0.2989229507723704,0.7711191617592807,0.9999124392578936,0.12500931248882807,NS
REPS1,-0.1249839858304429,3.289583161931231,3.414567147761674,-0.7051438171897348,0.5041533582361066,0.9999124392578936,0.1249839858304429,NS
NR1H3,0.12496110565779528,4.1324713011541,4.007510195496304,0.33416190392068895,0.7511740812583444,0.9999124392578936,0.12496110565779528,NS
TUBA3D,-0.12490594917327885,0.37990891158333545,0.5048148607566143,-0.5525442447864536,0.5939794833530492,0.9999124392578936,0.12490594917327885,NS
SHB,0.12483503193660139,3.2163062642258984,3.091471232289297,0.33667641114688696,0.7464017783412146,0.9999124392578936,0.12483503193660139,NS
OIP5-AS1,-0.12483357519275096,5.041275345212125,5.166108920404876,-0.8258910504772615,0.433723222203923,0.9999124392578936,0.12483357519275096,NS
GLUD1P3,-0.12481402810975561,1.7538239170844108,1.8786379451941664,-0.6102751519487551,0.5612287565929629,0.9999124392578936,0.12481402810975561,NS
FLYWCH2,0.12481139321918544,5.122119429501977,4.997308036282791,0.3854891850819642,0.7087390377444767,0.9999124392578936,0.12481139321918544,NS
SUV39H2,-0.12480997415886375,2.295212657228606,2.4200226313874698,-0.5803897820353718,0.5747875941280295,0.9999124392578936,0.12480997415886375,NS
RHBDL2,-0.12479645209309309,0.9547147020945259,1.079511154187619,-0.41539627386508027,0.6872156853243228,0.9999124392578936,0.12479645209309309,NS
ITGA5,0.12475904327601661,5.0056458709724865,4.88088682769647,0.11643166027260854,0.9096231453582725,0.9999124392578936,0.12475904327601661,NS
GCLC,0.12475697951968412,3.7833852403863584,3.6586282608666743,0.4986991777222353,0.6388924090144824,0.9999124392578936,0.12475697951968412,NS
