gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
UMAD1,0.3371780607890611,4.095888544891498,3.7587104841024366,1.5213769030290727,0.16317329086984433,0.587765085770022,0.3371780607890611,NS
TNIP3,0.3371667171051804,1.6265881079617972,1.2894213908566168,0.6948445168455976,0.5013666178547727,0.8007528378226716,0.3371667171051804,NS
NRIP2,0.3371118844236358,2.476188166384187,2.139076281960551,1.2644909925933843,0.22681801479134522,0.6336761275977908,0.3371118844236358,NS
ACOT2,-0.33706258590799987,4.598715040266604,4.935777626174604,-1.0901054258855385,0.29477184670353307,0.68246068217035,0.33706258590799987,NS
PDIA5,-0.3369748593024564,4.824782329576172,5.161757188878628,-1.3699493532976637,0.19752017994152068,0.6114601555088135,0.3369748593024564,NS
TBC1D32,-0.3369301638180118,1.2946235743103733,1.6315537381283851,-1.0568654877337986,0.31184522288176186,0.6940033998770805,0.3369301638180118,NS
ZSCAN21,-0.33689396241767033,2.5661758815762634,2.9030698439939338,-1.3936763278964646,0.18930823365201607,0.6053112487175255,0.33689396241767033,NS
JAK1,0.33687348363144576,5.9285073846271645,5.591633900995719,1.2476513887973333,0.24389734953175662,0.6451114034583246,0.33687348363144576,NS
YBX1,-0.3368663063769102,8.335815685822823,8.672681992199733,-1.2342526484476002,0.2502191155924206,0.6492079683119962,0.3368663063769102,NS
ZNF561-AS1,-0.33683052636240496,1.3973892919285118,1.7342198182909168,-1.544495815309719,0.15618968613295378,0.5823494207106203,0.33683052636240496,NS
GCDH,-0.3367488052917329,3.905698881710756,4.242447687002489,-1.307597444267232,0.22564227235050957,0.6327176473003436,0.3367488052917329,NS
GABPB1-IT1,0.33671044372628645,2.9557892846813782,2.619078840955092,0.9416759631767802,0.3630482493382884,0.7267269864544654,0.33671044372628645,NS
TFPT,-0.3367083200640115,4.605796488792264,4.942504808856276,-1.4330578541207308,0.18473602808075748,0.6019103281984831,0.3367083200640115,NS
SLC25A15,-0.3366053998537115,3.1684334654648705,3.505038865318582,-0.8566815496242154,0.4060382040765379,0.7520751550302825,0.3366053998537115,NS
SLC25A5,-0.33656367622881156,8.791116620338038,9.127680296566849,-0.9461401377125791,0.3653355355920407,0.7274370362793583,0.33656367622881156,NS
LYSMD3,0.336563378750002,5.0325874844284435,4.6960241056784415,2.151314880312999,0.04918065003377583,0.5513093049406389,0.336563378750002,NS
DNM2,0.33644412155227243,5.752141931921018,5.415697810368745,2.0831128859418397,0.06203855132713448,0.5513093049406389,0.33644412155227243,NS
AC090948.3,0.3364250567295608,1.4078725661454388,1.071447509415878,1.3357670304096596,0.20161655207201712,0.6137666755583341,0.3364250567295608,NS
NCKAP1L,0.3363870532750699,4.173757356626154,3.8373703033510838,0.7066505570779137,0.4930323694482538,0.7967604130346958,0.3363870532750699,NS
ZNF780A,0.33628441999509695,2.5472673993809063,2.2109829793858093,1.7282860213736895,0.10954066559935224,0.5580025153503948,0.33628441999509695,NS
BAZ2B,0.3362209697256322,3.08771018933787,2.7514892196122376,1.4067655155060372,0.1800592789556723,0.6005302366111889,0.3362209697256322,NS
NAALADL1,0.3362204171825003,2.1137032952274475,1.7774828780449472,0.9915192418502896,0.33720332268934616,0.7106700660082205,0.3362204171825003,NS
EDNRA,0.3361796415215821,4.775473567555306,4.439293926033724,0.7530703912204579,0.46398302326929375,0.7815225802596647,0.3361796415215821,NS
ZFYVE9,0.33616349225326037,4.182779451444971,3.846615959191711,1.023792932965609,0.32722993591922656,0.7039455460718123,0.33616349225326037,NS
ELOC,-0.3360655133204995,4.591238778096256,4.927304291416755,-0.9372771296420799,0.3727813889740732,0.7323717337903284,0.3360655133204995,NS
ARHGAP45,0.3359362939763235,5.232122779129899,4.896186485153575,1.0164593809099076,0.3269899018609004,0.7037175279413043,0.3359362939763235,NS
ADPRS,-0.3359065123948968,6.134552413461498,6.470458925856395,-1.6607684169642254,0.12460965357940107,0.565948656605009,0.3359065123948968,NS
PLIN4,0.3358850419017857,1.231966377546166,0.8960813356443803,0.9914316838649233,0.33886266381749364,0.7115969938207221,0.3358850419017857,NS
ZNF121,-0.3358836787181536,3.4948574116918096,3.8307410904099632,-1.0666214547963608,0.30593055743176,0.6905728156183751,0.3358836787181536,NS
TNPO2,-0.3358612743169136,4.899309320793845,5.235170595110759,-1.1480237609017214,0.27400886948115766,0.6658767244083419,0.3358612743169136,NS
