gene,sl_n_drivers,sl_drivers,deg_cancers_up,deg_cancers_down,deg_max_log2fc,deg_min_fdr,n_approved_drugs,n_total_drugs,is_druggable,top_drugs,dep_auc,n_dependent_lines,sl_max_lineages,sl_is_universal,composite_score
ALK,0,,0,0,0.0,1.0,53,111,True,"ENTRECTINIB, VENETOCLAX, ALECTINIB",0.5,0,0,False,0.2
AR,0,,0,0,0.0,1.0,364,899,True,"SULISOBENZONE, CHENODEOXYCHOLIC ACID, CALCIPOTRIENE",0.5,0,0,False,0.2
CTLA4,0,,0,0,0.0,1.0,16,31,True,"TREMELIMUMAB, IPILIMUMAB, CYCLOSPORINE",0.5,0,0,False,0.2
VEGFA,0,,0,0,0.0,1.0,27,53,True,"PEGAPTANIB, BROLUCIZUMAB, GENTAMICIN",0.5,0,0,False,0.2
FLT3,0,,0,0,0.0,1.0,49,166,True,"METHOTREXATE, CABOZANTINIB S-MALATE, QUIZARTINIB",0.5,0,0,False,0.2
RPP21,1,KRAS,0,0,0.0,1.0,0,0,False,,0.5,0,4,True,0.2
NEDD8,1,BRCA2,0,0,0.0,1.0,0,0,False,,0.5,0,4,True,0.2
HIF1A,0,,0,0,0.0,1.0,47,145,True,"AMCINONIDE, QUERCETIN, IODOQUINOL",0.5,0,0,False,0.2
DNMT3A,0,,0,0,0.0,1.0,10,27,True,"AZACITIDINE, DAUNORUBICIN LIPOSOMAL, QUIZARTINIB",0.5,0,0,False,0.2
IDH1,0,,0,0,0.0,1.0,104,412,True,"CETUXIMAB, PROTRIPTYLINE HYDROCHLORIDE, DABRAFENIB",0.5,0,0,False,0.2
PDGFRB,0,,0,0,0.0,1.0,25,79,True,"IMATINIB, REGORAFENIB, BECAPLERMIN",0.5,0,0,False,0.2
DTYMK,1,MYC,1,0,1.0588310300447512,2.0119115963491057e-21,0,0,False,,0.5,0,2,False,0.19166666666666665
SGO1,1,VHL,2,0,1.526863005887437,1.465897543322027e-27,0,0,False,,0.5,0,0,False,0.18333333333333335
KIF14,1,MYC,2,0,1.7905009897931756,6.267950341513956e-29,0,0,False,,0.5,0,0,False,0.18333333333333335
CHAF1B,1,MYC,2,0,1.4744224679909483,9.400236050165716e-30,0,0,False,,0.5,0,0,False,0.18333333333333335
TUBG1,1,BRAF,2,0,1.0708722537033672,1.3733801369043238e-23,0,0,False,,0.5,0,0,False,0.18333333333333335
HDAC6,0,,0,0,0.0,1.0,9,42,True,"PANOBINOSTAT, BELINOSTAT, VALPROIC ACID",0.5,0,0,False,0.18000000000000002
MIS18A,0,,1,0,1.0543129069832595,1.7548982940349682e-20,0,0,False,,0.5,0,3,True,0.17916666666666664
GPI,0,,1,0,1.0002457644815612,1.3532168354281757e-22,0,0,False,,0.5,0,3,True,0.17916666666666664
POLR3B,2,"BRAF, BRCA2",0,0,0.0,1.0,0,0,False,,0.5,0,2,False,0.175
MOB4,2,"VHL, FBXW7",0,0,0.0,1.0,0,0,False,,0.5,0,2,False,0.175
CFLAR,2,"VHL, BRCA2",0,0,0.0,1.0,0,0,False,,0.5,0,2,False,0.175
CDC42,2,"VHL, CTNNB1",0,0,0.0,1.0,0,0,False,,0.5,0,2,False,0.175
CFL1,2,"BRAF, BRCA1",1,0,1.0078963327316517,1.4226675725078154e-16,0,0,False,,0.5,0,0,False,0.16666666666666669
CLNS1A,1,BRCA2,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
SDHC,1,MYC,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
ATP6V1B2,1,ERBB2,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
MED4,1,BRCA2,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
CWC22,1,VHL,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
PRC1,1,BRCA2,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
CENPN,1,BRCA2,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
CDIPT,1,PIK3CA,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
POLR3F,1,FBXW7,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
PKM,1,FBXW7,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
XPO1,1,VHL,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
HSD17B10,1,KRAS,0,0,0.0,1.0,0,0,False,,0.5,0,3,True,0.16249999999999998
PDCD1,0,,0,0,0.0,1.0,8,40,True,"PEMBROLIZUMAB, TISLELIZUMAB, DOSTARLIMAB",0.5,0,0,False,0.16000000000000003
BRD4,0,,0,0,0.0,1.0,5,18,True,"ALPRAZOLAM, ESTAZOLAM, MIDAZOLAM HYDROCHLORIDE",0.6262177561039686,1008,0,False,0.15048710244158744
TUBB,3,"KRAS, VHL, CTNNB1",0,0,0.0,1.0,0,0,False,,0.5,0,0,False,0.15
STMN1,0,,1,0,1.4419594471253463,1.6777966848181826e-18,0,0,False,,0.5,0,2,False,0.14166666666666666
FAM136A,0,,1,0,1.0281759839880822,9.275693130197131e-32,0,0,False,,0.5,0,2,False,0.14166666666666666
MRPS12,0,,1,0,1.0690633834804002,3.078824920470618e-17,0,0,False,,0.5,0,2,False,0.14166666666666666
INTS8,0,,1,0,1.0046346673067843,3.685088411425358e-24,0,0,False,,0.5,0,2,False,0.14166666666666666
MUC20,0,,1,0,1.2617100493381574,1.4013060597079738e-10,0,0,False,,0.5,0,2,False,0.14166666666666666
TSEN54,0,,1,0,1.1815806359856431,3.92863353693704e-13,0,0,False,,0.5,0,2,False,0.14166666666666666
SRD5A3,0,,1,0,1.1890039274976392,2.228285474424473e-17,0,0,False,,0.5,0,2,False,0.14166666666666666
SEC14L1,0,,0,1,1.0481450312474188,3.955569531620654e-15,0,0,False,,0.5,0,2,False,0.14166666666666666
LAMTOR2,0,,1,0,1.2212110150220663,1.936704534544261e-21,0,0,False,,0.5,0,2,False,0.14166666666666666
CENPL,0,,1,0,1.0678460848656368,5.254850212149755e-27,0,0,False,,0.5,0,2,False,0.14166666666666666
CCT5,0,,1,0,1.0464621842289017,2.345057897270083e-21,0,0,False,,0.5,0,2,False,0.14166666666666666
SCARF1,0,,0,1,1.273422330713823,4.1523967207682314e-19,0,0,False,,0.5,0,2,False,0.14166666666666666
GMNN,0,,1,0,1.147056963974483,1.6082268282638718e-17,0,0,False,,0.5,0,2,False,0.14166666666666666
NCAPG2,0,,1,0,1.3795090935517011,9.273153264744209e-23,0,0,False,,0.5,0,2,False,0.14166666666666666
E2F3,0,,1,0,1.2054740773721848,3.657747989027522e-23,0,0,False,,0.5,0,2,False,0.14166666666666666
VARS1,0,,1,0,1.1685943197797464,1.0070803309954336e-26,0,0,False,,0.5,0,2,False,0.14166666666666666
KNTC1,0,,1,0,1.474053035102443,2.1232024019346297e-28,0,0,False,,0.5,0,2,False,0.14166666666666666
NDUFAF6,0,,1,0,1.1405739751587776,6.030642756658261e-21,0,0,False,,0.5,0,2,False,0.14166666666666666
GNL3,0,,1,0,1.008524968267131,2.50052686815838e-26,0,0,False,,0.5,0,2,False,0.14166666666666666
SLC20A1,0,,1,0,1.0810870004133075,6.002824426674989e-17,0,0,False,,0.5,0,2,False,0.14166666666666666
GFER,0,,1,0,1.0358433307758634,7.49704900707298e-13,0,0,False,,0.5,0,2,False,0.14166666666666666
KAT2A,0,,1,0,1.558753936175992,2.2951951822534238e-26,0,0,False,,0.5,0,2,False,0.14166666666666666
OIP5,0,,1,0,1.2184624728410998,3.031022242216349e-26,0,0,False,,0.5,0,2,False,0.14166666666666666
NPM3,0,,1,0,1.5192999266857097,4.997171308122303e-28,0,0,False,,0.5,0,2,False,0.14166666666666666
AK1,0,,0,1,1.4717001392760474,1.6705296335160818e-21,0,0,False,,0.5,0,2,False,0.14166666666666666
RCOR2,0,,1,0,1.2817578345096434,2.6304264058879496e-13,0,0,False,,0.5,0,2,False,0.14166666666666666
EXOSC5,0,,1,0,1.1023976307988017,4.481240096656936e-21,0,0,False,,0.5,0,2,False,0.14166666666666666
PAGR1,0,,1,0,1.0092362318934571,1.4591368500967568e-18,0,0,False,,0.5,0,2,False,0.14166666666666666
DPM2,0,,1,0,1.03332764784167,8.147528927382731e-17,0,0,False,,0.5,0,2,False,0.14166666666666666
RHOQ,0,,0,1,1.2108923041531725,5.4679861400220136e-14,0,0,False,,0.5,0,2,False,0.14166666666666666
MRPL3,0,,1,0,1.0001801225153946,1.694714083646211e-29,0,0,False,,0.5,0,2,False,0.14166666666666666
TOMM40,0,,1,0,1.0922765787315578,1.1931559550537342e-15,0,0,False,,0.5,0,2,False,0.14166666666666666
MRPS34,0,,1,0,1.290003489975045,1.951101372903937e-18,0,0,False,,0.5,0,2,False,0.14166666666666666
TERT,0,,0,0,0.0,1.0,7,35,True,"IMETELSTAT, ERIBULIN MESYLATE, ARSENIC TRIOXIDE",0.5,0,0,False,0.13999999999999999
PARP2,0,,0,0,0.0,1.0,7,12,True,"NIRAPARIB, RUCAPARIB, RUCAPARIB CAMSYLATE",0.5,0,0,False,0.13999999999999999
CCNB2,0,,2,0,2.36940479058544,1.6477965902544283e-34,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHV3-73,0,,1,1,1.7336019478060871,2.030593678178713e-06,0,0,False,,0.5,0,0,False,0.13333333333333333
HSH2D,0,,2,0,1.7423180846045363,1.7351264623263058e-23,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHV4-4,0,,1,1,2.1226617307552,1.3502919473677268e-08,0,0,False,,0.5,0,0,False,0.13333333333333333
HMGCS2,0,,0,2,2.6812084621989265,4.530420263291424e-07,0,0,False,,0.5,0,0,False,0.13333333333333333
IGHV3-7,0,,1,1,1.669522099379705,1.2384831316638274e-07,0,0,False,,0.5,0,0,False,0.13333333333333333
HPSE2,0,,0,2,2.3817098861656687,1.2599803076576137e-21,0,0,False,,0.5,0,0,False,0.13333333333333333
IGKV1D-39,0,,1,1,1.6911382730933555,2.674357859429541e-08,0,0,False,,0.5,0,0,False,0.13333333333333333
IGKV2OR22-4,0,,1,1,1.266468385123154,1.1313710226451575e-09,0,0,False,,0.5,0,0,False,0.13333333333333333
HOXC13,0,,2,0,1.9862468946544696,1.1847429864040934e-16,0,0,False,,0.5,0,0,False,0.13333333333333333
HRCT1,0,,0,2,2.180563593935282,2.228292202865162e-16,0,0,False,,0.5,0,0,False,0.13333333333333333
