,CD8_T,CD4_T,B_cells,NK_cells,Macrophage,Dendritic,Treg,Exhaustion,IFN_gamma
TCGA-EW-A1P8,-0.293061846245203,0.5828165233893791,-0.33496034622377224,-0.5281011683844583,0.9257322131446174,0.07439037674727551,0.3537887572685989,0.29835756978166045,-0.06387585932026965
TCGA-BH-A0B4,-0.22311781478461817,-0.36881821579568586,-0.28284831580994163,-0.19122739885285944,-0.5553833362941271,-0.43357713291426464,-0.21772248513366838,-0.28875422956412994,-0.2534122634690729
TCGA-AO-A03M,1.2286550647800807,1.2493523406578617,0.21672034166687856,0.752332068727239,0.3312457793944102,0.4352314125154158,1.1426672750822697,1.1575166004684612,1.7469495531177093
TCGA-EW-A424,-0.574586167300271,-0.8015767733529201,0.2316000664020186,-0.6895334394334004,-0.3828849510016636,-0.587974924674665,-0.5128756167266693,-0.499144248098236,-0.5718341400472369
TCGA-BH-A0BL,1.7329170987333458,1.293967397125683,0.6546474126182377,1.218626789320613,0.32851024258273176,1.7551426085103656,1.4116665624172084,1.1068430877136426,2.537187951934073
TCGA-BH-A0GZ,-0.4906872347552075,-0.679489720270424,-0.36512043923824233,-0.609343555377981,-0.7673445113998242,-0.662256408394591,-0.2326733280160692,-0.5893010156380328,-0.5867401959641693
TCGA-C8-A12Q,-0.25187018515880377,-0.06351728345466749,-0.16184467568832214,-0.4678925581300805,0.11290617107897354,-0.17924851281919443,0.08674471119768111,-0.07146375804225878,-0.17823974886197394
TCGA-D8-A27I,0.09984487319548746,0.6031260637189026,0.20533484156515136,0.2288139871254472,0.1983018624963007,1.9269392600967112,-0.1185689134803904,0.09836808755052083,-0.03303775606112247
TCGA-EW-A6S9,-0.4767029185603586,-0.39393457280668137,-0.18020743336804235,-0.7044331252342446,-0.1686058957604851,-0.2597145192333599,-0.1422016480750214,-0.27846781676579163,-0.17552895190078635
TCGA-AR-A24H,0.09073197304288029,0.2796349321202882,-0.10645632162732067,-0.19947705557781506,0.06513597341927968,-0.5521369930326454,0.3792862328992329,0.5076836686289499,0.47762580372577573
TCGA-XX-A89A,0.08582613092232075,1.4717848011905443,0.05791605932554239,-0.06867572293635825,0.9945802429433653,-0.08787141352295291,1.0586883200148463,0.4883947321748507,0.2549113513750379
TCGA-E9-A5UO,-0.608297791542479,-0.7709687893034557,-0.46703138385859266,-0.738828451639772,-0.7590166931847447,-0.7852983056287816,-0.678692412173684,-0.6973008423458027,-0.6014860861054793
TCGA-BH-A18G,-0.3366471467065706,-0.22799298742230958,-0.523150723397803,-0.20845305147625592,-0.7143293129477538,-0.7745552315270637,-0.2935318274728265,-0.4880916672954663,-0.3705714291020709
TCGA-E2-A1LB,-0.5774574649540052,-0.5169401376400586,-0.10787937914103642,-0.7247378735031159,-0.46054564755134203,-0.34332935832431205,-0.32879745395302346,-0.5070398184757262,-0.5652632224863801
TCGA-B6-A0IC,-0.6331068058559652,-0.7248675530771639,-0.1713343520582206,-0.7985951646993277,-0.6086739495185006,-0.841504748353901,-0.4967540380790325,-0.6393126063295824,-0.524767430042447
TCGA-E2-A15S,-0.5520752894896381,-0.7689683486759137,-0.3428687727818545,-0.6524714235857605,-0.7108446462634738,-0.7919401487928349,-0.24583737401430739,-0.6199240255731263,-0.6787357613639727
TCGA-GM-A3XG,-0.5484694382558585,-0.6514898552376137,-0.08979821500170293,-0.596300410450024,-0.4801077598757177,-0.12193336561053687,-0.4928573300101561,-0.5497735178225791,-0.6360796512489383
