gene_a,gene_b,codependency_corr,codependency_pval,co_essential_jaccard,both_essential_count,conditional_effect,n_cell_lines
VHL,ATP6V1C1,-0.25140668998196897,4.0689569697681716e-17,0.6515151515151515,688,0.1344697466852276,1086
VHL,TRAPPC3,-0.2895881426113941,2.0010987965464285e-22,0.832258064516129,903,0.16205646372701432,1086
VHL,ANAPC10,-0.32818828503010267,1.0961304066309411e-28,0.8278084714548803,899,0.15865786793721992,1086
VHL,PSMA4,-0.2955949035855345,2.4415165965420478e-23,0.8331797235023042,904,0.13146819962428125,1086
VHL,ATP6V1G1,-0.07601253577217275,0.01222102164343841,0.7953703703703704,859,0.08664968601501943,1086
VHL,SMU1,-0.21498156807173904,8.047901800882875e-13,0.8324125230202578,904,0.1278339952538552,1086
VHL,ISY1,-0.32553182727125335,3.1695634215256297e-28,0.8324125230202578,904,0.1929770417145673,1086
VHL,CWC22,-0.23109273698752741,1.244524135288165e-14,0.8341013824884793,905,0.09854913969419665,1086
VHL,NPLOC4,-0.2159699779517788,6.28949876024847e-13,0.8311808118081181,901,0.09700688195131613,1086
VHL,PSMA2,-0.2919578436669205,8.779246593948886e-23,0.8333333333333334,905,0.14246137433377593,1086
STK11,PSMB5,-0.13700060264187805,5.87138102355098e-06,0.09188660801564028,94,0.20921580180168498,1086
STK11,CCND1,-0.09264654515178708,0.0022417593867721524,0.07368421052631578,56,0.20828476996767642,1086
KEAP1,RAC1,-0.3245828035896488,4.619897311885045e-28,0.10221285563751317,97,0.18303182524012984,1086
KEAP1,WWTR1,-0.32995543181643716,5.377222009819967e-29,0.03736263736263736,17,0.16898613641554855,1086
KEAP1,ITGAV,-0.2472498064347724,1.3702272226477059e-16,0.07583774250440917,43,0.15240275994598917,1086
BRCA1,MYC,-0.20128325607426295,2.1688294933719597e-11,0.29411764705882354,310,0.1649612995157157,1086
BRCA1,CFL1,-0.21809805706190452,3.6840628218590323e-13,0.20243902439024392,166,0.1587992977118896,1086
BRCA1,CDK6,-0.17014350006713372,1.6835692016116324e-08,0.17899408284023668,121,0.10766695873803123,1086
BRCA1,UROD,-0.17869589443440426,3.032204026744828e-09,0.2184769038701623,175,0.11969617511920916,1086
BRCA2,GGPS1,-0.21290708228352323,1.3449399815129355e-12,0.1710654936461388,175,0.23989005442090783,1086
BRCA2,MAD2L1,-0.2723472167517102,6.360907604233617e-20,0.19963031423290203,216,0.1552886408896912,1086
BRCA2,RABGGTB,-0.2365218711958607,2.838463458512097e-15,0.19758812615955473,213,0.17777085311456298,1086
BRCA2,CENPN,-0.2629743928751386,1.2319312674700392e-18,0.2007366482504604,218,0.17488447636077042,1086
BRCA2,NEDD8,-0.27257209422623646,5.915775704289383e-20,0.20092165898617512,218,0.1768296911606726,1086
BRCA2,PRC1,-0.2536273174024962,2.107667847857827e-17,0.19889502762430938,216,0.1677870041506473,1086
BRCA2,TP53,-0.17947808321792832,2.5812294969399024e-09,0.0,0,0.1341522035794936,1086
BRCA2,SNF8,-0.22038316249830162,2.0615686874639973e-13,0.17578125,180,0.1406855330304897,1086
BRCA2,PSMA4,-0.28914458905211676,2.332737407092426e-22,0.2011070110701107,218,0.15017143034957647,1086
BRCA2,CFLAR,-0.19817484816949127,4.437339820285829e-11,0.13195548489666137,83,0.11937568518275932,1086
BRCA2,RARS1,-0.24863021991837037,9.17827314405606e-17,0.16110019646365423,164,0.15626255190824379,1086
BRCA2,MED4,-0.2383946293417348,1.690041103810723e-15,0.19888991674375578,215,0.1482344258128654,1086
BRCA2,GINS4,-0.24776409617255854,1.1805378187186524e-16,0.19851576994434136,214,0.14691949115965408,1086
BRCA2,POLR3B,-0.1946462933819577,9.861672490060035e-11,0.20092165898617512,218,0.16295175112001847,1086
BRCA2,RHEB,-0.21083117236723362,2.236593593773118e-12,0.17248459958932238,168,0.14631716641156256,1086
BRCA2,CLNS1A,-0.1814006175080113,1.7322974140906045e-09,0.1987060998151571,215,0.14608297266807324,1086
BRCA2,SNAP23,-0.1373267697758594,5.576027219182204e-06,0.15188172043010753,113,0.10683525100390612,1086
NRAS,GRB2,-0.21029538746196638,2.5481532737021226e-12,0.015424164524421594,12,0.4916662907345974,1086
NRAS,PTPN11,-0.18709894634412055,5.178336180848823e-10,0.02512562814070352,20,0.3039085631272891,1086
CTNNB1,CHMP4B,-0.2221810172431245,1.2997456967891352e-13,0.058954393770856504,53,0.3800836630727349,1086
CTNNB1,TUBB,-0.22254867634686532,1.1821563499884403e-13,0.08795411089866156,92,0.3190096029967402,1086
CTNNB1,GPX4,-0.19680723432872074,6.057801130989312e-11,0.05241935483870968,39,0.31189825026998214,1086
CTNNB1,HNRNPH1,-0.23178096867880454,1.0340061391901974e-14,0.0695742471443406,67,0.26936977832557296,1086
CTNNB1,PPP2R1A,-0.13510082119312772,7.911994779128645e-06,0.07955801104972375,72,0.24051397552807463,1086
CTNNB1,TUBA1B,-0.1925253378574749,1.5824092932244002e-10,0.09040074557315937,97,0.22331736857551954,1086
CTNNB1,SEPHS2,-0.1787420274905107,3.0036027125993912e-09,0.037996545768566495,22,0.20632510163924767,1086
